date,rGDP,pSaveRate,fedFundRate,empPopRatio,consConfIndex,consPriceIndex,housingSeries
10/1/2005,14373.4,2.6,3.78,62.8,74.2,102.5,NaN,
11/1/2005,14459.75,2.7,4,62.7,81.6,101.47,NaN,
12/1/2005,14459.75,2.8,4.16,62.8,91.5,100.86,NaN,
1/1/2006,14546.1,3.8,4.29,62.9,91.2,101.71,NaN,
2/1/2006,14567.85,3.8,4.49,63,86.7,101.79,NaN,
3/1/2006,14567.85,3.8,4.59,63.1,88.9,102.31,NaN,
4/1/2006,14589.6,3.4,4.79,63,87.4,103.31,NaN,
5/1/2006,14596.1,3.2,4.94,63.1,79.1,103.9,NaN,
6/1/2006,14596.1,3.4,4.99,63.1,84.9,104.04,NaN,
7/1/2006,14602.6,2.9,5.24,63,84.7,104.24,NaN,
8/1/2006,14659.75,3,5.25,63.1,82,104.47,NaN,
9/1/2006,14659.75,3,5.25,63.1,85.4,103.8,NaN,
10/1/2006,14716.9,3.1,5.25,63.3,93.6,102.92,NaN,
11/1/2006,14721.45,3.2,5.25,63.3,92.1,102.7,NaN,
12/1/2006,14721.45,3,5.24,63.4,91.7,102.88,NaN,
1/1/2007,14726,3,5.25,63.3,96.9,103.09,NaN,
2/1/2007,14782.35,3.3,5.26,63.3,91.3,103.62,NaN,
3/1/2007,14782.35,3.6,5.26,63.3,88.4,104.75,NaN,
4/1/2007,14838.7,3.2,5.25,63,87.1,105.56,NaN,
5/1/2007,14888.6,3,5.25,63,88.3,106.4,NaN,
6/1/2007,14888.6,2.8,5.25,63,85.3,106.52,NaN,
7/1/2007,14938.5,2.8,5.26,62.9,90.4,106.33,NaN,
8/1/2007,14965.15,2.6,5.02,62.7,83.4,106.04,NaN,
9/1/2007,14965.15,2.8,4.94,62.9,83.4,106.47,NaN,
10/1/2007,14991.8,2.8,4.76,62.7,80.9,106.72,NaN,
11/1/2007,14940.65,2.5,4.49,62.9,76.1,107.6,NaN,
12/1/2007,14940.65,3,4.24,62.7,75.5,107.49,NaN,
1/1/2008,14889.5,3.3,3.94,62.9,78.4,107.99,NaN,
2/1/2008,14926.45,3.8,2.98,62.8,70.8,108.28,NaN,
3/1/2008,14926.45,3.9,2.61,62.7,69.5,109.37,NaN,
4/1/2008,14963.4,3.5,2.28,62.7,62.6,110.27,NaN,
5/1/2008,14927.5,7.9,1.98,62.5,59.8,111.51,NaN,
6/1/2008,14927.5,5.5,2,62.4,56.4,112.87,NaN,
7/1/2008,14891.6,4.4,2.01,62.2,61.2,113.52,NaN,
8/1/2008,14734.3,3.7,2,62,63,112.94,NaN,
9/1/2008,14734.3,4.4,1.81,61.9,70.3,112.77,NaN,
10/1/2008,14577,5.4,0.97,61.7,57.6,111.24,NaN,
11/1/2008,14476,6.2,0.39,61.4,55.3,108.42,NaN,
12/1/2008,14476,6.4,0.16,61,60.1,106.97,NaN,
1/1/2009,14375,6.4,0.15,60.6,61.2,107.42,NaN,
2/1/2009,14365.3,5.9,0.22,60.3,56.3,108.06,NaN,
3/1/2009,14365.3,6.1,0.18,59.9,57.3,108.31,NaN,
4/1/2009,14355.6,6.7,0.15,59.8,65.1,108.63,NaN,
5/1/2009,14379.05,8.1,0.18,59.6,68.7,109.06,NaN,
6/1/2009,14379.05,6.6,0.21,59.4,70.8,110.26,NaN,
7/1/2009,14402.5,6,0.16,59.3,66,110.02,NaN,
8/1/2009,14472.2,4.9,0.16,59.1,65.7,110.36,NaN,
9/1/2009,14472.2,5.9,0.15,58.7,73.5,110.57,NaN,
10/1/2009,14541.9,5.4,0.12,58.5,70.6,110.71,NaN,
11/1/2009,14573.35,5.7,0.12,58.6,67.4,111,NaN,
12/1/2009,14573.35,5.7,0.12,58.3,72.5,110.8,NaN,
1/1/2010,14604.8,5.6,0.11,58.5,74.4,111.32,NaN,
2/1/2010,14675.35,5.2,0.13,58.5,73.6,111.37,NaN,
3/1/2010,14675.35,5,0.16,58.5,73.6,112.01,NaN,
4/1/2010,14745.9,5.6,0.2,58.7,72.2,112.29,NaN,
5/1/2010,14795.7,6,0.2,58.6,73.6,112.41,NaN,
6/1/2010,14795.7,5.9,0.18,58.5,76,112.23,NaN,
7/1/2010,14845.5,5.9,0.18,58.5,67.8,112.26,NaN,
8/1/2010,14892.25,5.8,0.19,58.6,68.9,112.45,NaN,
9/1/2010,14892.25,5.6,0.19,58.5,68.2,112.52,NaN,
10/1/2010,14939,5.4,0.19,58.3,67.7,112.68,NaN,
11/1/2010,14910.15,5.3,0.19,58.2,71.6,112.68,NaN,
12/1/2010,14910.15,5.9,0.18,58.3,74.5,112.91,NaN,
1/1/2011,14881.3,6.3,0.17,58.3,74.2,113.58,NaN,
2/1/2011,14935.45,6.4,0.16,58.4,77.5,114.28,NaN,
